v3id	name	type	v4id
GRMZM2G116063	ZmHB63	WOX	Zm00001d042821
GRMZM2G006578	ZmbZIP7	bZIP	Zm00001d020938
AC233751.1_FG002	ZmSBP32	SBP	Zm00001d049824
GRMZM2G401821	ZmOrphan17	NA	Zm00001d036803
GRMZM2G137374	ZmbHLH49	bHLH	Zm00001d027496
GRMZM2G148213	ZmOrphan18	NA	Zm00001d022366
GRMZM2G407119	ZmbHLH9	bHLH	Zm00001d047999
GRMZM2G091061	ZmOrphan19	NA	Zm00001d046828
GRMZM2G038722	ZmMYB13	MYB	Zm00001d002476
GRMZM2G164082	ZmWRKY12	WRKY	Zm00001d034475
GRMZM2G037630	ZmCA2P3	NF-YA	Zm00001d029489
GRMZM2G138455	ZmDOF40	Dof	Zm00001d032999
GRMZM2G028969	ZmEREB185	ERF	Zm00001d002747
GRMZM2G472096	ZmMADS75	M-type_MADS	Zm00001d019214
GRMZM2G034362	ZmOrphan20	NA	Zm00001d018481
GRMZM2G316758	ZmbHLH12	bHLH	Zm00001d052038
GRMZM2G477533	ZmMYBR10	MYB_related	Zm00001d049236
GRMZM2G146028	ZmEREB8	ERF	Zm00001d053707
GRMZM2G348909	ZmOrphan21	NA	Zm00001d001953
GRMZM2G447551	ZmCAMTA4	CAMTA	Zm00001d028007
GRMZM2G395842	ZmC3H5	C3H	Zm00001d045887
GRMZM2G032180	ZmMYBR4	MYB_related	Zm00001d005055
GRMZM2G083472	ZmGLK10	NA	NA
GRMZM2G146020	ZmbZIP8	bZIP	Zm00001d041920
GRMZM2G082387	ZmGRAS4	GRAS	Zm00001d042127
GRMZM2G401809	ZmMYBR5	MYB_related	Zm00001d006848
GRMZM2G139535	ZmHSF21	HSF	Zm00001d020714
GRMZM2G112925	ZmOrphan22	NA	Zm00001d028615
GRMZM2G092137	ZmbZIP9	bZIP	Zm00001d020025
GRMZM2G137358	ZmbHLH17	bHLH	Zm00001d034503
GRMZM2G033267	ZmOrphan23	NA	Zm00001d013182
GRMZM2G062154	ZmTUB15	NA	Zm00001d043895
GRMZM2G136266	ZmbZIP10	bZIP	Zm00001d023507
GRMZM2G110742	ZmSBP4	NA	Zm00001d019793
GRMZM2G465595	ZmC2H25	C2H2	Zm00001d028361
GRMZM2G118214	ZmGATA7	GATA	Zm00001d023539
GRMZM2G146018	ZmGRAS5	GRAS	Zm00001d041919
GRMZM2G129777	ZmEREB192	ERF	Zm00001d039989
GRMZM2G025685	ZmHSF27	HSF	Zm00001d022295
GRMZM2G474258	ZmOrphan24	NA	Zm00001d027598
GRMZM2G064328	ZmMYBR88	NA	Zm00001d053687
GRMZM2G087817	ZmMYBR6	MYB_related	Zm00001d044330
GRMZM5G829894	ZmOrphan25	NA	Zm00001d015279
GRMZM2G100982	ZmEREB12	ERF	Zm00001d009622
GRMZM2G166230	ZmBBR2	BBR-BPC	Zm00001d005160
GRMZM2G137341	ZmEREB16	ERF	Zm00001d017592
GRMZM5G809663	ZmCADR9	NF-YB	Zm00001d030151
GRMZM2G106276	ZmHB4	HD-ZIP	Zm00001d045400
GRMZM2G134073	ZmNAC9	NAC	Zm00001d011969
GRMZM2G087804	ZmGLK13	G2-like	Zm00001d039260
GRMZM2G138427	ZmMYB17	MYB	Zm00001d053210
GRMZM2G346706	ZmGRAS6	GRAS	Zm00001d011070
GRMZM2G138421	ZmSBP6	SBP	Zm00001d012916
GRMZM2G473152	ZmCADR2	NF-YB	Zm00001d042196
GRMZM2G351018	ZmHB9	HB-other	Zm00001d012751
GRMZM2G340177	ZmbHLH98	bHLH	Zm00001d046346
GRMZM2G409974	ZmARR2	ARR-B	Zm00001d045112
GRMZM2G004356	ZmbHLH159	bHLH	Zm00001d013073
AC198518.3_FG005	ZmbHLH58	bHLH	Zm00001d041351
GRMZM2G344521	ZmABI25	B3	Zm00001d033324
GRMZM2G314546	ZmHB32	HB-PHD	Zm00001d043452
GRMZM2G134066	ZmOrphan26	NA	Zm00001d035134
GRMZM2G013016	ZmGRAS7	GRAS	Zm00001d042472
GRMZM2G130943	ZmOrphan27	NA	Zm00001d048131
GRMZM2G052377	ZmMYB20	MYB	Zm00001d039700
GRMZM2G382794	ZmZIM19	NA	Zm00001d034536
GRMZM2G063216	ZmWRKY16	WRKY	Zm00001d052357
GRMZM2G448607	ZmbZIP12	bZIP	Zm00001d035440
GRMZM2G119999	ZmHB127	HD-ZIP	Zm00001d030532
GRMZM2G155370	ZmOrphan28	NA	Zm00001d053880
GRMZM2G074773	ZmCA5P1	NF-YC	Zm00001d026648
GRMZM2G448605	ZmWRKY69	WRKY	Zm00001d009595
GRMZM2G045883	ZmbHLH161	bHLH	Zm00001d018119
GRMZM2G033230	ZmbZIP108	bZIP	Zm00001d010667
GRMZM2G160917	ZmSBP8	SBP	Zm00001d031451
GRMZM2G026742	ZmHSF9	HSF	Zm00001d048041
GRMZM2G446426	ZmMADS52	M-type_MADS	Zm00001d052648
GRMZM2G082343	ZmbHLH18	bHLH	Zm00001d013370
GRMZM2G104078	ZmNAC101	NAC	Zm00001d050960
GRMZM2G035405	ZmARF18	ARF	Zm00001d014377
GRMZM2G104076	ZmOrphan29	NA	Zm00001d046828
GRMZM2G104074	ZmNAC124	NAC	Zm00001d046126
GRMZM2G080168	ZmbHLH141	bHLH	Zm00001d049158
GRMZM2G063203	ZmTHX16	Trihelix	Zm00001d051316
GRMZM2G091003	ZmbHLH13	bHLH	Zm00001d051509
GRMZM2G108424	ZmMYBR7	MYB_related	Zm00001d043696
GRMZM2G381691	ZmOrphan30	NA	Zm00001d024909
GRMZM2G176677	ZmNAC120	NAC	Zm00001d002945
GRMZM2G177760	ZmMYBR8	MYB_related	NA
GRMZM2G004334	ZmHB10	HD-ZIP	Zm00001d037140
GRMZM2G475305	ZmNLP6	Nin-like	Zm00001d039266
GRMZM2G160902	ZmbZIP48	bZIP	Zm00001d041604
GRMZM2G072582	ZmMADS3	MIKC_MADS	Zm00001d018667
GRMZM2G025642	ZmNAC33	NAC	Zm00001d027459
GRMZM2G109509	ZmNLP7	Nin-like	Zm00001d027510
GRMZM2G324999	ZmWRKY25	WRKY	Zm00001d032265
GRMZM2G093895	ZmTCP12	TCP	Zm00001d023565
GRMZM2G149958	ZmMYB133	MYB	Zm00001d001837
GRMZM2G305856	ZmMYB21	MYB	Zm00001d035605
GRMZM2G414252	ZmbHLH20	bHLH	Zm00001d005841
GRMZM2G118884	ZmOrphan31	DBB	Zm00001d014765
GRMZM2G146688	ZmEREB41	AP2	Zm00001d007840
GRMZM2G072573	ZmOrphan32	NA	Zm00001d047412
GRMZM2G406674	ZmOrphan33	NA	Zm00001d038838
GRMZM2G105140	ZmWRKY123	WRKY	Zm00001d044171
GRMZM2G392516	ZmGBP1	GeBP	Zm00001d035224
GRMZM2G051256	ZmMYB40	MYB	Zm00001d040621
GRMZM2G149940	ZmABI3	B3	Zm00001d001838
GRMZM2G176655	ZmNLP8	Nin-like	Zm00001d037786
GRMZM2G021276	ZmbHLH16	bHLH	Zm00001d008174
GRMZM2G082318	ZmGBP12	GeBP	Zm00001d022266
GRMZM2G105137	ZmMYB104	MYB	Zm00001d002750
GRMZM2G001048	ZmABI36	B3	Zm00001d049094
GRMZM2G127537	ZmHB11	HD-ZIP	Zm00001d020670
GRMZM2G383841	ZmbHLH147	bHLH	Zm00001d006733
GRMZM2G002131	ZmHSF1	HSF	Zm00001d005888
GRMZM2G439903	ZmNAC41	NAC	Zm00001d052564
GRMZM2G024530	ZmbHLH171	bHLH	Zm00001d045046
GRMZM2G301485	ZmHSF20	HSF	Zm00001d026094
GRMZM2G335814	ZmGRAS16	GRAS	Zm00001d033166
GRMZM2G172297	ZmbHLH96	bHLH	Zm00001d007382
GRMZM5G884349	ZmbZIP32	bZIP	Zm00001d024285
GRMZM2G022359	ZmEREB163	AP2	Zm00001d024468
GRMZM2G425798	ZmEREB149	ERF	Zm00001d025281
GRMZM2G702026	ZmARF36	ARF	Zm00001d016838
GRMZM2G044752	ZmHB53	HD-ZIP	Zm00001d002754
GRMZM2G002128	ZmMYBR3	MYB	Zm00001d038270
GRMZM2G071468	ZmMYBR11	MYB_related	Zm00001d017507
GRMZM2G145579	ZmbHLH165	bHLH	Zm00001d049870
GRMZM2G013688	ZmbHLH109	bHLH	Zm00001d021164
GRMZM2G070371	ZmGRAS14	GRAS	Zm00001d007713
GRMZM2G173372	ZmbHLH35	bHLH	Zm00001d027546
GRMZM2G144480	ZmbZIP16	bZIP	Zm00001d052807
GRMZM2G063880	ZmWRKY106	WRKY	Zm00001d009619
GRMZM2G153144	ZmbZIP14	bZIP	Zm00001d015118
GRMZM2G399598	ZmEREB43	ERF	Zm00001d007236
GRMZM2G090594	ZmWRKY67	WRKY	Zm00001d024376
GRMZM2G106204	ZmYAB3	YABBY	Zm00001d018829
GRMZM2G002119	ZmEREB158	ERF	Zm00001d043204
GRMZM2G175543	ZmEREB19	ERF	Zm00001d036536
GRMZM2G098063	ZmABI4	B3	Zm00001d033313
GRMZM2G475984	ZmWRKY27	WRKY	Zm00001d039531
GRMZM2G031001	ZmNAC11	NAC	Zm00001d028995
GRMZM2G122076	ZmHB7	HD-ZIP	Zm00001d050310
GRMZM2G012584	ZmOrphan34	NA	Zm00001d010975
GRMZM5G833032	ZmMYBR100	MYB_related	Zm00001d017609
GRMZM2G080111	ZmbZIP36	bZIP	Zm00001d015664
GRMZM2G165788	ZmOrphan35	NA	Zm00001d040728
GRMZM2G099144	ZmNAC71	NAC	Zm00001d003583
GRMZM2G020156	ZmOrphan36	NA	Zm00001d019944
GRMZM5G848942	ZmbZIP19	bZIP	Zm00001d043908
GRMZM2G453571	ZmWRKY117	WRKY	Zm00001d039032
GRMZM2G094935	ZmHB92	HB-PHD	Zm00001d038812
GRMZM2G302549	ZmMYB160	MYB	Zm00001d013070
GRMZM2G020150	ZmEREB196	ERF	Zm00001d038585
GRMZM2G145554	ZmWRKY28	WRKY	Zm00001d011413
GRMZM2G039187	ZmOrphan37	NA	Zm00001d033280
AC233899.1_FG004	ZmHB12	HD-ZIP	Zm00001d048227
AC233899.1_FG002	ZmbHLH21	bHLH	Zm00001d048229
GRMZM2G041462	ZmHB128	HD-ZIP	Zm00001d021268
GRMZM2G529859	ZmYAB8	YABBY	Zm00001d017391
GRMZM2G063864	ZmALF2	NA	Zm00001d016861
GRMZM2G172264	ZmNAC107	NAC	Zm00001d010144
GRMZM2G171179	ZmEREB160	ERF	Zm00001d045044
GRMZM2G349376	ZmTUB13	NA	Zm00001d047019
GRMZM2G136887	ZmMYBR101	MYB_related	Zm00001d011252
GRMZM2G148810	ZmALF1	NA	Zm00001d037537
GRMZM2G413113	ZmOrphan38	NA	Zm00001d039639
GRMZM2G175525	ZmEREB21	ERF	Zm00001d025409
GRMZM2G383807	ZmOrphan39	NA	Zm00001d009747
GRMZM2G116658	ZmHB14	HD-ZIP	Zm00001d021236
GRMZM2G013657	ZmEREB171	AP2	Zm00001d038087
GRMZM2G123140	ZmHB15	HD-ZIP	Zm00001d030069
GRMZM2G091656	ZmGRAS9	GRAS	Zm00001d053163
GRMZM5G826526	ZmGRAS12	GRAS	Zm00001d044065
GRMZM2G431156	ZmMYB25	MYB	Zm00001d010201
GRMZM2G147716	ZmMADS67	MIKC_MADS	Zm00001d022088
GRMZM2G170079	ZmbZIP20	bZIP	Zm00001d012719
GRMZM2G147712	ZmCADR3	NF-YB	Zm00001d050242
GRMZM2G069146	ZmEREB115	ERF	Zm00001d021208
GRMZM2G140094	ZmGRAS13	GRAS	Zm00001d052464
GRMZM2G116646	ZmYAB5	YABBY	Zm00001d041277
GRMZM5G817854	ZmbHLH14	bHLH	Zm00001d011187
GRMZM2G370777	ZmMADS72	MIKC_MADS	Zm00001d052180
GRMZM5G874545	ZmGRAS15	GRAS	NA
GRMZM2G368491	ZmbZIP21	bZIP	Zm00001d044546
GRMZM2G038073	ZmNAC13	NAC	Zm00001d017084
GRMZM2G081892	ZmEREB118	ERF	Zm00001d008546
GRMZM2G063841	ZmOrphan40	NA	Zm00001d009620
GRMZM2G089361	ZmTCP44	TCP	Zm00001d013119
GRMZM2G134687	ZmNAC88	NAC	Zm00001d010239
GRMZM2G116638	ZmGRAS21	GRAS	Zm00001d030500
GRMZM2G140085	ZmGRAS24	GRAS	Zm00001d052463
GRMZM2G140083	ZmHB16	WOX	Zm00001d010998
GRMZM2G040349	ZmCA2P4	NF-YA	Zm00001d006835
GRMZM2G038066	ZmALF3	NA	Zm00001d022110
GRMZM2G162481	ZmHB106	WOX	Zm00001d047559
GRMZM2G173321	ZmABI51	B3	Zm00001d024321
GRMZM2G380515	ZmC2H1	C2H2	Zm00001d010842
AC165171.2_FG002	ZmWRKY120	WRKY	Zm00001d041958
GRMZM2G155991	ZmOrphan41	NA	Zm00001d026269
GRMZM2G472671	ZmbHLH145	bHLH	Zm00001d031717
GRMZM5G866954	ZmTUB2	NA	Zm00001d042724
GRMZM2G123119	ZmEREB177	ERF	Zm00001d019734
GRMZM2G069126	ZmEREB23	ERF	Zm00001d021207
GRMZM2G043600	ZmbZIP22	bZIP	Zm00001d021191
AC190734.2_FG003	ZmTCP6	TCP	Zm00001d013467
AC208201.3_FG002	ZmOrphan42	NA	Zm00001d028752
GRMZM2G001699	ZmE2F1	E2F/DP	Zm00001d032741
GRMZM2G134671	ZmOrphan43	NA	Zm00001d029149
AC214168.3_FG001	ZmE2F17	E2F/DP	Zm00001d003755
GRMZM2G009163	ZmOrphan44	NA	Zm00001d000391
GRMZM2G114444	ZmbHLH166	bHLH	Zm00001d044216
GRMZM2G170049	ZmMYB26	MYB	Zm00001d017383
GRMZM2G004957	ZmHB18	HD-ZIP	Zm00001d024701
AC184831.3_FG008	ZmGATA36	GATA	Zm00001d053940
GRMZM2G420280	ZmGRAS25	GRAS	Zm00001d003657
AC184831.3_FG005	ZmGATA22	GATA	Zm00001d053940
GRMZM2G320549	ZmMADS54	M-type_MADS	Zm00001d039913
GRMZM2G112263	ZmMYBR12	MYB_related	Zm00001d028846
GRMZM2G013617	ZmHB38	TALE	Zm00001d035907
GRMZM2G086072	ZmE2F19	E2F/DP	Zm00001d027709
GRMZM2G056099	ZmbZIP105	bZIP	Zm00001d047587
GRMZM2G116614	ZmZIM28	NA	Zm00001d020614
GRMZM2G013612	ZmOrphan46	ARR-B	Zm00001d004102
GRMZM2G041415	ZmMYB8	MYB	Zm00001d041853
GRMZM2G445944	ZmTCP4	TCP	Zm00001d018530
GRMZM2G143328	ZmMYB53	MYB	Zm00001d044107
GRMZM2G159094	ZmNAC14	NAC	Zm00001d020446
GRMZM2G172210	ZmOrphan47	NA	Zm00001d007068
GRMZM2G348238	ZmGLK14	G2-like	Zm00001d039637
GRMZM2G088242	ZmHSF2	HSF	Zm00001d005843
GRMZM2G060541	ZmHB113	HB-other	Zm00001d011560
GRMZM2G115516	ZmTCP5	TCP	Zm00001d034353
GRMZM2G317160	ZmEREB26	AP2	Zm00001d028919
GRMZM2G162450	ZmbHLH22	bHLH	Zm00001d009715
GRMZM2G340756	ZmMYBR14	NA	Zm00001d041847
GRMZM2G011422	ZmMYB108	MYB	Zm00001d050185
GRMZM2G102497	ZmOrphan49	NA	Zm00001d029197
GRMZM2G062711	ZmTCP28	TCP	NA
GRMZM2G099797	ZmARR3	ARR-B	Zm00001d028265
GRMZM2G368448	ZmOrphan50	NA	Zm00001d038655
GRMZM2G110067	ZmGRAS27	GRAS	Zm00001d029474
GRMZM2G039112	ZmEREB168	ERF	Zm00001d030862
GRMZM2G133555	ZmOrphan51	NA	Zm00001d032768
GRMZM2G180490	ZmOrphan52	NA	Zm00001d021976
GRMZM2G155954	ZmOrphan53	NA	Zm00001d042973
GRMZM5G845601	ZmOrphan54	NA	Zm00001d026084
GRMZM2G051866	ZmOrphan55	NA	Zm00001d025855
GRMZM5G821024	ZmbZIP23	bZIP	Zm00001d004857
GRMZM2G125976	ZmHB76	TALE	Zm00001d038355
GRMZM2G366264	ZmbZIP109	bZIP	Zm00001d023424
GRMZM2G307397	ZmHB43	HD-ZIP	Zm00001d014630
GRMZM2G020799	ZmbZIP13	bZIP	Zm00001d017911
GRMZM2G098696	ZmHSF7	HSF	Zm00001d052738
GRMZM2G111146	ZmbHLH53	bHLH	Zm00001d017677
GRMZM2G162434	ZmMYB97	MYB	Zm00001d052397
GRMZM2G038015	ZmbZIP24	bZIP	Zm00001d028879
GRMZM2G125969	ZmHSF4	HSF	Zm00001d018941
GRMZM2G414844	ZmZHD6	ZF-HD	Zm00001d039116
GRMZM2G060517	ZmEREB189	ERF	Zm00001d019744
GRMZM2G134628	ZmOrphan56	NA	Zm00001d044301
GRMZM2G111136	ZmSBP10	SBP	Zm00001d015451
GRMZM2G180471	ZmOrphan57	NA	Zm00001d026363
GRMZM5G889152	ZmOrphan58	NA	Zm00001d035846
GRMZM2G008029	ZmWRKY31	WRKY	Zm00001d034084
GRMZM2G471529	ZmOrphan59	NA	Zm00001d042312
GRMZM2G004908	ZmOrphan60	NA	Zm00001d051075
GRMZM2G080731	ZmbZIP25	bZIP	Zm00001d010658
GRMZM2G153754	ZmCPP1	CPP	Zm00001d018930
GRMZM2G060507	ZmHB20	TALE	Zm00001d048471
GRMZM2G076272	ZmHB21	TALE	Zm00001d046223
GRMZM2G135703	ZmDOF19	Dof	Zm00001d042736
GRMZM2G152661	ZmCAMTA5	CAMTA	Zm00001d025235
GRMZM2G020772	ZmMYB81	MYB	Zm00001d039893
GRMZM2G111123	ZmABI48	B3	Zm00001d044355
GRMZM2G178182	ZmbHLH23	bHLH	Zm00001d006110
GRMZM2G057131	ZmNLP2	Nin-like	Zm00001d002661
GRMZM2G081816	ZmbHLH25	bHLH	Zm00001d044242
GRMZM2G125943	ZmOrphan61	NA	Zm00001d051812
GRMZM2G047376	ZmOrphan62	NA	Zm00001d046831
GRMZM2G018487	ZmWRKY107	WRKY	Zm00001d033965
GRMZM2G544539	ZmEREB28	ERF	Zm00001d023535
GRMZM2G018485	ZmABI2	B3	Zm00001d026005
GRMZM2G470422	ZmC2H5	C2H2	Zm00001d034783
GRMZM2G111117	ZmMYB28	MYB	Zm00001d050400
GRMZM2G029323	ZmEREB17	ERF	Zm00001d052229
GRMZM2G047370	ZmTHX25	Trihelix	Zm00001d025720
GRMZM2G162409	ZmGLK15	G2-like	Zm00001d019536
GRMZM2G162405	ZmGBP5	GeBP	Zm00001d013451
GRMZM2G180452	ZmbHLH3	bHLH	Zm00001d028297
GRMZM2G161315	ZmZHD2	ZF-HD	Zm00001d020460
GRMZM2G089995	ZmEREB209	ERF	Zm00001d049364
GRMZM2G160224	ZmABI6	B3	NA
