TF_ID	Gene_ID	Family	rapdb
LOC_Os01g09720.1	LOC_Os01g09720	Dof	None
LOC_Os01g09900.1	LOC_Os01g09900	bHLH	Os01g0195700
LOC_Os01g09900.1	LOC_Os01g09900	bHLH	Os01g0195801
LOC_Os01g09930.1	LOC_Os01g09930	bHLH	None
LOC_Os01g09940.1	LOC_Os01g09940	bHLH	Os01g0195967
LOC_Os01g09990.1	LOC_Os01g09990	bHLH	Os01g0196300
LOC_Os01g09990.2	LOC_Os01g09990	bHLH	Os01g0196300
LOC_Os01g10610.1	LOC_Os01g10610	BES1	Os01g0203000
LOC_Os01g11350.1	LOC_Os01g11350	bZIP	Os01g0211800
LOC_Os01g11550.1	LOC_Os01g11550	TCP	Os01g0213800
LOC_Os01g11910.1	LOC_Os01g11910	bHLH	Os01g0218100
LOC_Os01g13460.1	LOC_Os01g13460	bHLH	Os01g0235700
LOC_Os01g13540.1	LOC_Os01g13540	Nin-like	Os01g0236700
LOC_Os01g14030.1	LOC_Os01g14030	LBD	Os01g0242400
LOC_Os01g14420.1	LOC_Os01g14420	Nin-like	Os01g0246500
LOC_Os01g14440.1	LOC_Os01g14440	WRKY	Os01g0246700
LOC_Os01g14720.1	LOC_Os01g14720	GeBP	Os01g0249900
LOC_Os01g15640.1	LOC_Os01g15640	NAC	Os01g0261200
LOC_Os01g15900.1	LOC_Os01g15900	Dof	Os01g0264000
LOC_Os01g16660.1	LOC_Os01g16660	FAR1	Os01g0273200
LOC_Os01g16740.1	LOC_Os01g16740	FAR1	Os01g0274000
LOC_Os01g17000.1	LOC_Os01g17000	Dof	Os01g0277500
LOC_Os01g17260.1	LOC_Os01g17260	bZIP	Os01g0279900
LOC_Os01g17260.2	LOC_Os01g17260	bZIP	Os01g0279900
LOC_Os01g18584.1	LOC_Os01g18584	WRKY	Os01g0289600
LOC_Os01g18850.1	LOC_Os01g18850	SBP	Os01g0292900
LOC_Os01g18850.2	LOC_Os01g18850	SBP	Os01g0292900
LOC_Os01g18850.3	LOC_Os01g18850	SBP	Os01g0292900
LOC_Os01g18850.4	LOC_Os01g18850	SBP	Os01g0292900
LOC_Os01g18870.1	LOC_Os01g18870	bHLH	Os01g0293100
LOC_Os01g19050.1	LOC_Os01g19050	FAR1	Os01g0295100
LOC_Os01g21590.1	LOC_Os01g21590	Trihelix	Os01g0318400
LOC_Os01g23840.1	LOC_Os01g23840	FAR1	None
LOC_Os01g24070.1	LOC_Os01g24070	GATA	Os01g0343300
LOC_Os01g24070.2	LOC_Os01g24070	GATA	Os01g0343300
LOC_Os01g24460.1	LOC_Os01g24460	NF-YC	None
LOC_Os01g28050.1	LOC_Os01g28050	NAC	Os01g0378400
LOC_Os01g29840.1	LOC_Os01g29840	NAC	Os01g0393100
LOC_Os01g32770.1	LOC_Os01g32770	LBD	Os01g0511000
LOC_Os01g32890.1	LOC_Os01g32890	GeBP	Os01g0512400
LOC_Os01g33400.1	LOC_Os01g33400	bHLH	Os01g0518300
LOC_Os01g36220.1	LOC_Os01g36220	bZIP	Os01g0542700
LOC_Os01g37100.1	LOC_Os01g37100	Nin-like	Os01g0551600
LOC_Os01g37100.1	LOC_Os01g37100	Nin-like	Os01g0551700
LOC_Os01g38610.1	LOC_Os01g38610	bHLH	Os01g0566701
LOC_Os01g38610.1	LOC_Os01g38610	bHLH	Os01g0566800
LOC_Os01g39020.1	LOC_Os01g39020	HSF	Os01g0571300
LOC_Os01g39040.1	LOC_Os01g39040	LBD	Os01g0571500
LOC_Os01g39070.1	LOC_Os01g39070	LBD	Os01g0571800
LOC_Os01g39150.1	LOC_Os01g39150	LBD	Os01g0572800
LOC_Os01g39160.1	LOC_Os01g39160	LBD	None
LOC_Os01g39180.1	LOC_Os01g39180	LBD	Os01g0573132
LOC_Os01g39180.1	LOC_Os01g39180	LBD	Os01g0573300
LOC_Os01g39220.1	LOC_Os01g39220	LBD	None
LOC_Os01g39330.1	LOC_Os01g39330	bHLH	Os01g0575200
LOC_Os01g39480.1	LOC_Os01g39480	bHLH	Os01g0576100
LOC_Os01g39580.1	LOC_Os01g39580	bHLH	Os01g0577300
LOC_Os01g39850.1	LOC_Os01g39850	NF-YC	Os01g0580400
LOC_Os01g40260.1	LOC_Os01g40260	WRKY	Os01g0584900
LOC_Os01g40430.1	LOC_Os01g40430	WRKY	Os01g0586800
LOC_Os01g43550.1	LOC_Os01g43550	WRKY	Os01g0624700
LOC_Os01g43550.2	LOC_Os01g43550	WRKY	Os01g0624700
LOC_Os01g43590.1	LOC_Os01g43590	HSF	Os01g0625300
LOC_Os01g43590.2	LOC_Os01g43590	HSF	Os01g0625300
LOC_Os01g43650.1	LOC_Os01g43650	WRKY	Os01g0626400
LOC_Os01g43650.2	LOC_Os01g43650	WRKY	Os01g0626400
LOC_Os01g44430.1	LOC_Os01g44430	ZF-HD	Os01g0635550
LOC_Os01g44430.1	LOC_Os01g44430	ZF-HD	Os01g0635600
LOC_Os01g45860.1	LOC_Os01g45860	GRAS	Os01g0646300
LOC_Os01g46800.1	LOC_Os01g46800	WRKY	Os01g0656400
LOC_Os01g46970.1	LOC_Os01g46970	bZIP	Os01g0658900
LOC_Os01g46970.2	LOC_Os01g46970	bZIP	Os01g0658900
LOC_Os01g47360.1	LOC_Os01g47360	GATA	Os01g0662800
LOC_Os01g47560.1	LOC_Os01g47560	WRKY	Os01g0665500
LOC_Os01g47560.1	LOC_Os01g47560	WRKY	Os01g0665750
LOC_Os01g47670.1	LOC_Os01g47670	NAC	Os01g0667000
LOC_Os01g48130.1	LOC_Os01g48130	NAC	Os01g0672100
LOC_Os01g48130.2	LOC_Os01g48130	NAC	Os01g0672100
LOC_Os01g48290.1	LOC_Os01g48290	Dof	Os01g0673700
LOC_Os01g48320.1	LOC_Os01g48320	Trihelix	Os01g0674000
LOC_Os01g48446.1	LOC_Os01g48446	NAC	Os01g0675800
LOC_Os01g48470.1	LOC_Os01g48470	LFY	Os01g0675933
LOC_Os01g48700.1	LOC_Os01g48700	E2F/DP	Os01g0678700
LOC_Os01g50940.1	LOC_Os01g50940	bHLH	Os01g0705700
LOC_Os01g51140.1	LOC_Os01g51140	bHLH	Os01g0707500
LOC_Os01g51140.2	LOC_Os01g51140	bHLH	Os01g0707500
LOC_Os01g51690.1	LOC_Os01g51690	WRKY	Os01g0714800
LOC_Os01g52090.1	LOC_Os01g52090	Trihelix	Os01g0718900
LOC_Os01g52090.2	LOC_Os01g52090	Trihelix	Os01g0718900
LOC_Os01g53040.1	LOC_Os01g53040	WRKY	Os01g0730700
LOC_Os01g53220.1	LOC_Os01g53220	HSF	Os01g0733200
LOC_Os01g53260.1	LOC_Os01g53260	WRKY	Os01g0734000
LOC_Os01g54210.1	LOC_Os01g54210	GATA	Os01g0745700
LOC_Os01g54550.1	LOC_Os01g54550	HSF	Os01g0749300
LOC_Os01g54600.1	LOC_Os01g54600	WRKY	Os01g0750100
LOC_Os01g54930.1	LOC_Os01g54930	VOZ	Os01g0753000
LOC_Os01g55150.1	LOC_Os01g55150	bZIP	Os01g0756200
LOC_Os01g55340.1	LOC_Os01g55340	Dof	Os01g0758200
LOC_Os01g55580.1	LOC_Os01g55580	CPP	Os01g0761100
LOC_Os01g55580.2	LOC_Os01g55580	CPP	Os01g0761100
LOC_Os01g55750.1	LOC_Os01g55750	TCP	Os01g0763200
LOC_Os01g55750.2	LOC_Os01g55750	TCP	Os01g0763200
LOC_Os01g55750.3	LOC_Os01g55750	TCP	Os01g0763200
LOC_Os01g56530.1	LOC_Os01g56530	LBD	Os01g0772100
LOC_Os01g56690.1	LOC_Os01g56690	bHLH	Os01g0773800
LOC_Os01g57580.1	LOC_Os01g57580	bHLH	Os01g0784900
LOC_Os01g58760.1	LOC_Os01g58760	bZIP	Os01g0801901
LOC_Os01g59350.1	LOC_Os01g59350	bZIP	Os01g0808100
LOC_Os01g59350.2	LOC_Os01g59350	bZIP	Os01g0808100
LOC_Os01g59640.1	LOC_Os01g59640	NAC	Os01g0811500
LOC_Os01g59760.1	LOC_Os01g59760	bZIP	Os01g0813100
LOC_Os01g60020.1	LOC_Os01g60020	NAC	Os01g0816100
LOC_Os01g60490.1	LOC_Os01g60490	WRKY	Os01g0820400
LOC_Os01g60520.1	LOC_Os01g60520	WRKY	Os01g0820700
LOC_Os01g60540.1	LOC_Os01g60540	WRKY	Os01g0820900
LOC_Os01g60600.1	LOC_Os01g60600	WRKY	Os01g0821300
LOC_Os01g60640.1	LOC_Os01g60640	WRKY	Os01g0821600
LOC_Os01g60960.1	LOC_Os01g60960	LBD	Os01g0825000
LOC_Os01g61080.1	LOC_Os01g61080	WRKY	Os01g0826400
LOC_Os01g61480.1	LOC_Os01g61480	bHLH	Os01g0831000
LOC_Os01g61810.1	LOC_Os01g61810	NF-YB	Os01g0834400
LOC_Os01g61810.2	LOC_Os01g61810	NF-YB	Os01g0834400
LOC_Os01g62460.1	LOC_Os01g62460	GRAS	Os01g0842200
LOC_Os01g62460.2	LOC_Os01g62460	GRAS	Os01g0842200
LOC_Os01g62460.3	LOC_Os01g62460	GRAS	Os01g0842200
LOC_Os01g62510.1	LOC_Os01g62510	WRKY	None
LOC_Os01g62514.1	LOC_Os01g62514	WRKY	Os01g0842801
LOC_Os01g63030.1	LOC_Os01g63030	FAR1	Os01g0849800
LOC_Os01g63380.1	LOC_Os01g63380	FAR1	Os01g0852650
LOC_Os01g64000.1	LOC_Os01g64000	bZIP	Os01g0859300
LOC_Os01g64000.2	LOC_Os01g64000	bZIP	Os01g0859300
LOC_Os01g64000.3	LOC_Os01g64000	bZIP	Os01g0859300
LOC_Os01g64020.1	LOC_Os01g64020	bZIP	Os01g0859500
LOC_Os01g64020.2	LOC_Os01g64020	bZIP	Os01g0859500
LOC_Os01g64310.1	LOC_Os01g64310	NAC	Os01g0862800
LOC_Os01g64310.2	LOC_Os01g64310	NAC	Os01g0862800
LOC_Os01g64560.1	LOC_Os01g64560	bHLH	Os01g0865600
LOC_Os01g64560.2	LOC_Os01g64560	bHLH	Os01g0865600
LOC_Os01g64590.1	LOC_Os01g64590	Dof	Os01g0865800
LOC_Os01g64730.1	LOC_Os01g64730	bZIP	Os01g0867300
LOC_Os01g65900.1	LOC_Os01g65900	GRAS	Os01g0881500
LOC_Os01g66120.1	LOC_Os01g66120	NAC	Os01g0884300
LOC_Os01g66120.3	LOC_Os01g66120	NAC	Os01g0884300
LOC_Os01g66490.1	LOC_Os01g66490	NAC	Os01g0888300
LOC_Os01g66590.1	LOC_Os01g66590	LBD	Os01g0889400
LOC_Os01g66590.2	LOC_Os01g66590	LBD	Os01g0889400
LOC_Os01g66590.3	LOC_Os01g66590	LBD	Os01g0889400
LOC_Os01g67480.1	LOC_Os01g67480	bHLH	Os01g0900800
LOC_Os01g67650.1	LOC_Os01g67650	GRAS	None
LOC_Os01g67670.1	LOC_Os01g67670	GRAS	Os01g0903100
LOC_Os01g68700.1	LOC_Os01g68700	bHLH	Os01g0915600
LOC_Os01g68700.2	LOC_Os01g68700	bHLH	Os01g0915600
LOC_Os01g69830.1	LOC_Os01g69830	SBP	Os01g0922600
LOC_Os01g69910.1	LOC_Os01g69910	CAMTA	Os01g0923600
LOC_Os01g69910.2	LOC_Os01g69910	CAMTA	Os01g0923600
LOC_Os01g69980.1	LOC_Os01g69980	TCP	Os01g0924400
LOC_Os01g70110.1	LOC_Os01g70110	NAC	Os01g0925400
LOC_Os01g70230.1	LOC_Os01g70230	Trihelix	Os01g0927200
LOC_Os01g70310.1	LOC_Os01g70310	bHLH	Os01g0928000
LOC_Os01g70310.2	LOC_Os01g70310	bHLH	Os01g0928000
LOC_Os01g70880.1	LOC_Os01g70880	NF-YB	Os01g0935100
LOC_Os01g70890.1	LOC_Os01g70890	NF-YB	Os01g0935200
LOC_Os01g71790.1	LOC_Os01g71790	NAC	Os01g0946200
LOC_Os01g71850.1	LOC_Os01g71850	FAR1	None
LOC_Os01g71970.1	LOC_Os01g71970	GRAS	Os01g0948200
LOC_Os01g72370.1	LOC_Os01g72370	bHLH	Os01g0952800
LOC_Os01g72370.2	LOC_Os01g72370	bHLH	Os01g0952800
LOC_Os01g72370.3	LOC_Os01g72370	bHLH	Os01g0952800
LOC_Os01g72490.1	LOC_Os01g72490	SRS	Os01g0954500
LOC_Os01g72490.2	LOC_Os01g72490	SRS	Os01g0954500
LOC_Os01g74140.1	LOC_Os01g74140	WRKY	Os01g0972800
LOC_Os01g74540.1	LOC_Os01g74540	GATA	Os01g0976800
LOC_Os02g01380.1	LOC_Os02g01380	Trihelix	Os02g0104500
LOC_Os02g01860.1	LOC_Os02g01860	FAR1	None
LOC_Os02g01950.1	LOC_Os02g01950	FAR1	None
LOC_Os02g02480.1	LOC_Os02g02480	bHLH	Os02g0116600
LOC_Os02g02480.2	LOC_Os02g02480	bHLH	Os02g0116600
LOC_Os02g02480.3	LOC_Os02g02480	bHLH	Os02g0116600
LOC_Os02g02820.1	LOC_Os02g02820	bHLH	Os02g0120500
LOC_Os02g03580.1	LOC_Os02g03580	bZIP	Os02g0128200
LOC_Os02g03580.3	LOC_Os02g03580	bZIP	Os02g0128200
LOC_Os02g03690.1	LOC_Os02g03690	BES1	Os02g0129600
LOC_Os02g03960.1	LOC_Os02g03960	bZIP	Os02g0132500
LOC_Os02g04340.1	LOC_Os02g04340	Nin-like	Os02g0136000
LOC_Os02g04680.1	LOC_Os02g04680	SBP	Os02g0139400
LOC_Os02g04680.2	LOC_Os02g04680	SBP	Os02g0139400
LOC_Os02g05510.1	LOC_Os02g05510	GATA	Os02g0148500
LOC_Os02g05510.3	LOC_Os02g05510	GATA	Os02g0148500
LOC_Os02g06370.1	LOC_Os02g06370	Whirly	Os02g0158400
LOC_Os02g06950.1	LOC_Os02g06950	NAC	Os02g0165400
LOC_Os02g07450.1	LOC_Os02g07450	NF-YC	Os02g0170500
LOC_Os02g07450.2	LOC_Os02g07450	NF-YC	Os02g0170500
LOC_Os02g07780.1	LOC_Os02g07780	SBP	Os02g0174100
LOC_Os02g07780.2	LOC_Os02g07780	SBP	Os02g0174100
LOC_Os02g07800.1	LOC_Os02g07800	Trihelix	Os02g0174300
LOC_Os02g07840.1	LOC_Os02g07840	bZIP	Os02g0175100
LOC_Os02g07840.2	LOC_Os02g07840	bZIP	Os02g0175100
LOC_Os02g08070.1	LOC_Os02g08070	SBP	Os02g0177300
LOC_Os02g08440.1	LOC_Os02g08440	WRKY	Os02g0181300
LOC_Os02g08440.2	LOC_Os02g08440	WRKY	Os02g0181300
LOC_Os02g08440.3	LOC_Os02g08440	WRKY	Os02g0181300
LOC_Os02g08440.4	LOC_Os02g08440	WRKY	Os02g0181300
LOC_Os02g08540.1	LOC_Os02g08540	bZIP	Os02g0182700
LOC_Os02g09830.1	LOC_Os02g09830	bZIP	Os02g0191600
LOC_Os02g10140.1	LOC_Os02g10140	bZIP	Os02g0194900
LOC_Os02g10360.1	LOC_Os02g10360	GRAS	Os02g0197300
LOC_Os02g10840.1	LOC_Os02g10840	FAR1	Os02g0202800
LOC_Os02g10860.1	LOC_Os02g10860	bZIP	Os02g0202950
LOC_Os02g10860.1	LOC_Os02g10860	bZIP	Os02g0203000
LOC_Os02g12310.1	LOC_Os02g12310	NAC	Os02g0214500
LOC_Os02g12790.1	LOC_Os02g12790	GATA	Os02g0220400
LOC_Os02g12820.1	LOC_Os02g12820	bHLH	Os02g0221100
LOC_Os02g13670.1	LOC_Os02g13670	bHLH	Os02g0230500
LOC_Os02g13800.1	LOC_Os02g13800	HSF	Os02g0232000
LOC_Os02g13900.1	LOC_Os02g13900	BES1	Os02g0233200
LOC_Os02g14910.1	LOC_Os02g14910	bZIP	Os02g0247100
LOC_Os02g15340.1	LOC_Os02g15340	NAC	Os02g0252200
LOC_Os02g15350.1	LOC_Os02g15350	Dof	Os02g0252400
LOC_Os02g15760.1	LOC_Os02g15760	bHLH	Os02g0257500
LOC_Os02g16140.1	LOC_Os02g16140	FAR1	None
LOC_Os02g16240.1	LOC_Os02g16240	FAR1	Os02g0262500
LOC_Os02g16540.1	LOC_Os02g16540	WRKY	Os02g0265200
LOC_Os02g16680.1	LOC_Os02g16680	bZIP	Os02g0266800
LOC_Os02g16680.2	LOC_Os02g16680	bZIP	Os02g0266800
LOC_Os02g17460.1	LOC_Os02g17460	CPP	Os02g0274600
LOC_Os02g18370.1	LOC_Os02g18370	FAR1	Os02g0284500
LOC_Os02g18460.1	LOC_Os02g18460	NAC	Os02g0285900
LOC_Os02g18470.1	LOC_Os02g18470	NAC	Os02g0286000
LOC_Os02g18660.1	LOC_Os02g18660	GeBP	Os02g0288200
LOC_Os02g21685.1	LOC_Os02g21685	GRAS	None
LOC_Os02g23823.1	LOC_Os02g23823	bHLH	Os02g0433600
LOC_Os02g23823.2	LOC_Os02g23823	bHLH	Os02g0433600
LOC_Os02g23823.3	LOC_Os02g23823	bHLH	Os02g0433600
LOC_Os02g25470.1	LOC_Os02g25470	FAR1	None
LOC_Os02g26430.1	LOC_Os02g26430	WRKY	Os02g0462800
LOC_Os02g26780.1	LOC_Os02g26780	FAR1	None
LOC_Os02g28180.1	LOC_Os02g28180	FAR1	Os02g0483601
LOC_Os02g29340.1	LOC_Os02g29340	HSF	Os02g0496100
LOC_Os02g29640.1	LOC_Os02g29640	FAR1	None
LOC_Os02g31160.1	LOC_Os02g31160	Trihelix	Os02g0516800
LOC_Os02g31850.1	LOC_Os02g31850	FAR1	Os02g0517800
LOC_Os02g32590.1	LOC_Os02g32590	HSF	Os02g0527300
LOC_Os02g32590.2	LOC_Os02g32590	HSF	Os02g0527300
LOC_Os02g33430.1	LOC_Os02g33430	E2F/DP	Os02g0537500
LOC_Os02g33430.2	LOC_Os02g33430	E2F/DP	Os02g0537500
LOC_Os02g33560.1	LOC_Os02g33560	bZIP	Os02g0538900
LOC_Os02g33610.1	LOC_Os02g33610	Trihelix	Os02g0539600
LOC_Os02g33750.1	LOC_Os02g33750	FAR1	Os02g0542200
LOC_Os02g33750.2	LOC_Os02g33750	FAR1	Os02g0542200
LOC_Os02g33770.1	LOC_Os02g33770	Trihelix	Os02g0542400
LOC_Os02g34320.1	LOC_Os02g34320	bHLH	Os02g0547600
LOC_Os02g34370.1	LOC_Os02g34370	bHLH	Os02g0548100
LOC_Os02g34520.1	LOC_Os02g34520	FAR1	None
LOC_Os02g34590.1	LOC_Os02g34590	FAR1	Os02g0550900
LOC_Os02g34970.1	LOC_Os02g34970	NAC	Os02g0555300
LOC_Os02g35660.1	LOC_Os02g35660	bHLH	Os02g0564700
LOC_Os02g35690.1	LOC_Os02g35690	Trihelix	Os02g0565000
LOC_Os02g35690.2	LOC_Os02g35690	Trihelix	Os02g0565000
LOC_Os02g36510.1	LOC_Os02g36510	EIL	Os02g0574800
LOC_Os02g36880.1	LOC_Os02g36880	NAC	Os02g0579000
LOC_Os02g36880.2	LOC_Os02g36880	NAC	Os02g0579000
LOC_Os02g36880.3	LOC_Os02g36880	NAC	Os02g0579000
LOC_Os02g36880.4	LOC_Os02g36880	NAC	Os02g0579000
LOC_Os02g38130.1	LOC_Os02g38130	NAC	Os02g0594800
LOC_Os02g39140.1	LOC_Os02g39140	bHLH	Os02g0603600
LOC_Os02g39220.1	LOC_Os02g39220	FAR1	Os02g0604600
LOC_Os02g39520.1	LOC_Os02g39520	FAR1	Os02g0608100
LOC_Os02g39520.2	LOC_Os02g39520	FAR1	Os02g0608100
LOC_Os02g39540.1	LOC_Os02g39540	FAR1	Os02g0608300
LOC_Os02g39540.2	LOC_Os02g39540	FAR1	Os02g0608300
LOC_Os02g40950.1	LOC_Os02g40950	FAR1	Os02g0623000
LOC_Os02g41450.1	LOC_Os02g41450	NAC	Os02g0623300
LOC_Os02g42380.1	LOC_Os02g42380	TCP	Os02g0635800
LOC_Os02g42950.1	LOC_Os02g42950	YABBY	Os02g0643200
LOC_Os02g42950.2	LOC_Os02g42950	YABBY	Os02g0643200
LOC_Os02g42970.1	LOC_Os02g42970	NAC	Os02g0643600
LOC_Os02g43150.1	LOC_Os02g43150	GATA	Os02g0645600
LOC_Os02g43150.2	LOC_Os02g43150	GATA	Os02g0645600
LOC_Os02g43300.1	LOC_Os02g43300	Trihelix	Os02g0648300
LOC_Os02g43560.1	LOC_Os02g43560	WRKY	Os02g0652100
LOC_Os02g44360.1	LOC_Os02g44360	GRAS	Os02g0662700
LOC_Os02g44370.1	LOC_Os02g44370	GRAS	Os02g0663100
LOC_Os02g45200.1	LOC_Os02g45200	Dof	Os02g0673700
LOC_Os02g45200.2	LOC_Os02g45200	Dof	Os02g0673700
LOC_Os02g45200.3	LOC_Os02g45200	Dof	Os02g0673700
LOC_Os02g45200.4	LOC_Os02g45200	Dof	Os02g0673700
LOC_Os02g45760.1	LOC_Os02g45760	GRAS	Os02g0681900
LOC_Os02g46560.1	LOC_Os02g46560	bHLH	Os02g0691500
LOC_Os02g47060.1	LOC_Os02g47060	WRKY	Os02g0698800
LOC_Os02g47660.1	LOC_Os02g47660	bHLH	Os02g0705500
LOC_Os02g47770.1	LOC_Os02g47770	ZF-HD	Os02g0706600
LOC_Os02g47810.1	LOC_Os02g47810	Dof	Os02g0707200
LOC_Os02g48060.1	LOC_Os02g48060	bHLH	Os02g0710300
LOC_Os02g48270.1	LOC_Os02g48270	LBD	None
LOC_Os02g49370.1	LOC_Os02g49370	NF-YB	Os02g0725700
LOC_Os02g49370.2	LOC_Os02g49370	NF-YB	Os02g0725700
LOC_Os02g49410.1	LOC_Os02g49410	NF-YB	Os02g0725900
LOC_Os02g49440.1	LOC_Os02g49440	Dof	Os02g0726300
LOC_Os02g49480.1	LOC_Os02g49480	bHLH	Os02g0726700
LOC_Os02g49560.1	LOC_Os02g49560	bZIP	Os02g0728001
LOC_Os02g50630.1	LOC_Os02g50630	E2F/DP	Os02g0739700
LOC_Os02g51090.1	LOC_Os02g51090	Nin-like	Os02g0744950
LOC_Os02g51280.1	LOC_Os02g51280	TCP	Os02g0747400
LOC_Os02g51310.1	LOC_Os02g51310	TCP	None
LOC_Os02g51320.1	LOC_Os02g51320	bHLH	Os02g0747900
LOC_Os02g52190.1	LOC_Os02g52190	bHLH	Os02g0759000
LOC_Os02g52780.1	LOC_Os02g52780	bZIP	Os02g0766700
LOC_Os02g52780.2	LOC_Os02g52780	bZIP	Os02g0766700
LOC_Os02g52950.1	LOC_Os02g52950	GeBP	Os02g0768700
LOC_Os02g53100.1	LOC_Os02g53100	WRKY	Os02g0770500
LOC_Os02g53150.1	LOC_Os02g53150	GeBP	Os02g0771200
LOC_Os02g53620.1	LOC_Os02g53620	NF-YA	Os02g0776400
LOC_Os02g55250.1	LOC_Os02g55250	bHLH	Os02g0795800
LOC_Os02g56140.1	LOC_Os02g56140	bHLH	Os02g0805250
LOC_Os02g56250.1	LOC_Os02g56250	GATA	Os02g0806300
LOC_Os02g56250.1	LOC_Os02g56250	GATA	Os02g0806400
LOC_Os02g56600.1	LOC_Os02g56600	NAC	Os02g0810900
LOC_Os02g57490.1	LOC_Os02g57490	LBD	Os02g0820500
LOC_Os02g57650.1	LOC_Os02g57650	NAC	Os02g0822400
LOC_Os02g58670.1	LOC_Os02g58670	bZIP	Os02g0833600
LOC_Os02g58670.2	LOC_Os02g58670	bZIP	Os02g0833600
LOC_Os03g01870.1	LOC_Os03g01870	NAC	Os03g0109000
LOC_Os03g02240.1	LOC_Os03g02240	Trihelix	Os03g0113500
LOC_Os03g02800.1	LOC_Os03g02800	NAC	Os03g0119966
LOC_Os03g03000.1	LOC_Os03g03000	bHLH	Os03g0122100
LOC_Os03g03540.1	LOC_Os03g03540	NAC	None
LOC_Os03g03550.1	LOC_Os03g03550	bZIP	Os03g0127500
LOC_Os03g03850.1	LOC_Os03g03850	GATA	None
LOC_Os03g03900.1	LOC_Os03g03900	Nin-like	Os03g0131100
LOC_Os03g04070.1	LOC_Os03g04070	NAC	Os03g0133000
LOC_Os03g04310.1	LOC_Os03g04310	bHLH	Os03g0135700
LOC_Os03g04310.2	LOC_Os03g04310	bHLH	Os03g0135700
LOC_Os03g05160.1	LOC_Os03g05160	GATA	Os03g0145200
LOC_Os03g05500.1	LOC_Os03g05500	LBD	Os03g0149000
LOC_Os03g05510.1	LOC_Os03g05510	LBD	Os03g0149100
LOC_Os03g05760.1	LOC_Os03g05760	E2F/DP	Os03g0152100
LOC_Os03g06630.1	LOC_Os03g06630	HSF	Os03g0161900
LOC_Os03g06630.2	LOC_Os03g06630	HSF	Os03g0161900
LOC_Os03g06860.1	LOC_Os03g06860	FAR1	Os03g0164400
LOC_Os03g07360.1	LOC_Os03g07360	Dof	Os03g0169600
LOC_Os03g07540.1	LOC_Os03g07540	bHLH	Os03g0171700
LOC_Os03g07880.1	LOC_Os03g07880	NF-YA	Os03g0174900
LOC_Os03g07880.2	LOC_Os03g07880	NF-YA	Os03g0174900
LOC_Os03g07880.3	LOC_Os03g07880	NF-YA	Os03g0174900
LOC_Os03g08370.1	LOC_Os03g08370	FAR1	Os03g0181600
LOC_Os03g08930.1	LOC_Os03g08930	bHLH	Os03g0188400
LOC_Os03g09100.1	LOC_Os03g09100	CAMTA	Os03g0191000
LOC_Os03g09280.1	LOC_Os03g09280	GRAS	Os03g0193000
LOC_Os03g09280.2	LOC_Os03g09280	GRAS	Os03g0193000
LOC_Os03g09280.3	LOC_Os03g09280	GRAS	Os03g0193000
LOC_Os03g10770.1	LOC_Os03g10770	bHLH	Os03g0205300
LOC_Os03g11600.1	LOC_Os03g11600	YABBY	Os03g0215200
